date,date_str,Tmax_día_x,Tmin_día_x,Tmedia_día_x,ΔTmax_1d,MA_Tmax_3d,DTR_x,HR_media_día_x,Punto_de_rocío_día_x (Td),Presión_media_día_x (SLP),ΔPresión_24h,Viento_vel_media_día_x,Viento_dir_sin(x),Viento_dir_cos(x),Nubosidad_media_día_x,Precipitación_acum_día_x,t_max_x+1,ciudad,doy_sin,doy_cos
1991-09-15,15-09-91,26.1,18.3,22.200000000000003,1.1000000000000014,25.36666666666667,7.800000000000001,82.0,17.8,1015.5,2.3999999999999773,2.73,0.0174524064372834,-0.9998476951563912,89.0,0.1,35.0,new york,-0.9626519747161488,-0.2707418984477642
1991-09-16,16-09-91,35.0,22.8,28.9,8.899999999999999,28.700000000000003,12.2,75.0,20.9,1011.8,-3.7000000000000455,3.48,-0.7986355100472928,-0.6018150231520483,33.0,0.0,35.0,new york,-0.9671667297977312,-0.2541427094613622
1991-09-17,17-09-91,35.0,26.1,30.55,0.0,32.03333333333333,8.899999999999999,73.0,21.7,1009.7,-2.099999999999909,3.11,-0.90630778703665,-0.4226182617406991,28.0,0.8,28.3,new york,-0.97139528468375,-0.2374683155584684
1991-09-18,18-09-91,28.3,22.2,25.25,-6.699999999999999,32.76666666666667,6.100000000000001,75.0,19.2,1013.0,3.2999999999999545,3.28,0.9659258262890684,-0.2588190451025208,80.0,0.0,28.3,new york,-0.9753363880767836,-0.2207236509605022
1991-09-19,19-09-91,28.3,12.2,20.25,0.0,30.53333333333333,16.1,83.0,17.7,1012.9,-0.1000000000000227,4.47,-0.9135454576426012,0.4067366430757997,89.0,9.3,17.8,new york,-0.978988873740932,-0.2039136706831147
1991-09-20,20-09-91,17.8,11.7,14.75,-10.5,24.8,6.100000000000001,67.0,8.1,1016.9,4.0,3.66,-0.2249510543438653,0.9743700647852352,48.0,6.7,17.8,new york,-0.9823516608469236,-0.1870433490699165
1991-09-21,21-09-91,17.8,11.1,14.45,0.0,21.3,6.700000000000001,61.0,5.4,1020.9,4.0,2.78,-0.1908089953765446,0.981627183447664,4.0,0.0,21.1,new york,-0.9854237542919524,-0.1701176783204905
1991-09-22,22-09-91,21.1,11.7,16.4,3.3000000000000007,18.9,9.400000000000002,62.0,7.9,1024.1,3.199999999999932,1.78,0.3090169943749475,-0.9510565162951536,16.0,0.0,21.1,new york,-0.9882042449941422,-0.15314166701312
1991-09-23,23-09-91,21.1,15.6,18.35,0.0,20.000000000000004,5.500000000000002,82.0,13.6,1018.4,-5.699999999999932,2.69,-0.5150380749100542,-0.8571673007021123,78.0,1.2,22.8,new york,-0.9906923101615608,-0.136120338622667
1991-09-24,24-09-91,22.8,15.6,19.2,1.6999999999999993,21.666666666666668,7.200000000000001,76.0,13.3,1017.3,-1.1000000000000227,2.49,0.9659258262890684,0.2588190451025207,89.0,4.9,22.2,new york,-0.9928872135356962,-0.1190587300340498
1991-09-25,25-09-91,22.2,15.6,18.9,-0.6000000000000014,22.03333333333333,6.6,93.0,18.0,1001.9,-15.399999999999975,2.7,-0.6819983600624984,-0.7313537016191706,100.0,30.2,22.2,new york,-0.994788305609327,-0.1019618900517457
1991-09-26,26-09-91,22.2,13.9,18.05,0.0,22.4,8.299999999999999,75.0,11.6,1000.2,-1.6999999999999318,3.49,-0.891006524188368,0.4539904997395466,58.0,22.9,17.8,new york,-0.9963950238187232,-0.0848348779057653
1991-09-27,27-09-91,17.8,11.1,14.45,-4.399999999999999,20.73333333333333,6.700000000000001,58.0,4.7,1011.6,11.399999999999975,3.44,-0.9876883405951378,0.1564344650402306,26.0,0.0,17.8,new york,-0.9977068927101168,-0.0676827617545516
