date,date_str,Tmax_día_x,Tmin_día_x,Tmedia_día_x,ΔTmax_1d,MA_Tmax_3d,DTR_x,HR_media_día_x,Punto_de_rocío_día_x (Td),Presión_media_día_x (SLP),ΔPresión_24h,Viento_vel_media_día_x,Viento_dir_sin(x),Viento_dir_cos(x),Nubosidad_media_día_x,Precipitación_acum_día_x,t_max_x+1,ciudad,doy_sin,doy_cos
2019-06-11,11-06-19,25.0,17.8,21.4,3.8999999999999986,23.900000000000002,7.199999999999999,71.0,14.3,1009.5,-3.8999999999999773,5.44,-0.7193398003386512,0.6946583704589973,60.0,8.6,23.3,new york,0.3474028211842774,-0.9377159910299093
2019-06-12,12-06-19,23.3,16.7,20.0,-1.6999999999999993,23.133333333333336,6.600000000000001,64.0,10.7,1017.2,7.7000000000000455,3.71,0.6293203910498374,-0.7771459614569709,76.0,0.0,18.3,new york,0.3312212278016865,-0.9435531242349544
2019-06-13,13-06-19,18.3,13.9,16.1,-5.0,22.2,4.4,82.0,13.7,1006.8,-10.400000000000091,4.17,0.9563047559630354,0.29237170472273677,81.0,23.1,24.4,new york,0.31494162072895193,-0.9491110448902284
2019-06-14,14-06-19,24.4,16.1,20.25,6.099999999999998,22.0,8.299999999999997,68.0,11.4,1008.7,1.900000000000091,5.28,-0.9945218953682734,-0.10452846326765336,17.0,0.4,28.9,new york,0.2985688173637202,-0.9543881083175908
2019-06-15,15-06-19,28.9,16.7,22.799999999999997,4.5,23.866666666666664,12.2,59.0,11.9,1013.9,5.199999999999932,4.02,-0.6427876096865393,-0.766044443118978,63.0,0.0,28.3,new york,0.2821076626819194,-0.9593827529490743
2019-06-16,16-06-19,28.3,20.0,24.15,-0.5999999999999979,27.2,8.3,74.0,17.5,1007.7,-6.199999999999932,3.83,-0.656059028990507,-0.7547095802227721,88.0,3.3,24.4,new york,0.26556302780405594,-0.9640935007889755
2019-06-17,17-06-19,24.4,21.1,22.75,-3.900000000000002,27.2,3.299999999999997,89.0,19.5,1010.5,2.7999999999999545,1.81,-0.529919264233205,0.848048096156426,96.0,5.6,23.9,new york,0.24893980855376657,-0.9685189578512204
2019-06-18,18-06-19,23.9,18.3,21.1,-0.5,25.53333333333333,5.599999999999998,93.0,20.2,1009.0,-1.5,2.36,0.4694715627858907,-0.882947592858927,99.0,10.4,22.2,new york,0.23224292400907015,-0.9726578145718654
2019-06-19,19-06-19,22.2,17.8,20.0,-1.6999999999999993,23.5,4.399999999999999,96.0,19.1,1006.2,-2.7999999999999545,2.73,0.9563047559630355,-0.29237170472273666,97.0,11.8,25.6,new york,0.21547731504673012,-0.976508846196619
2019-06-20,20-06-19,25.6,16.7,21.15,3.400000000000002,23.899999999999995,8.900000000000002,94.0,21.2,997.8,-8.400000000000091,3.05,-0.06975647374412527,-0.9975640502598242,92.0,10.9,25.6,new york,0.19864794288017112,-0.9800709131432666
2019-06-21,21-06-19,25.6,18.3,21.950000000000003,0.0,24.46666666666667,7.300000000000001,79.0,16.4,999.1,1.3000000000000682,4.65,-0.5877852522924734,0.8090169943749473,62.0,15.8,26.7,new york,0.18175978759137534,-0.9833429613388902
2019-06-22,22-06-19,26.7,17.2,21.95,1.0999999999999979,25.96666666666667,9.5,59.0,11.9,1008.8,9.699999999999932,5.13,-0.7071067811865477,0.7071067811865474,13.0,0.0,30.0,new york,0.16481784665719793,-0.9863240225317866
2019-06-23,23-06-19,30.0,19.4,24.7,3.3000000000000007,27.433333333333337,10.600000000000001,61.0,13.5,1010.7,1.900000000000091,3.97,-0.8829475928589271,0.4694715627858904,9.0,0.0,30.0,new york,0.14782713347053048,-0.9890132145779883
2019-06-24,24-06-19,30.0,21.1,25.55,0.0,28.899999999999995,8.899999999999999,72.0,16.6,1007.6,-3.1000000000000227,2.11,-0.6156614753256582,-0.788010753606722,82.0,0.0,30.6,new york,0.13079267585675922,-0.9914097417023038
2019-06-25,25-06-19,30.6,21.7,26.15,0.6000000000000014,30.2,8.900000000000002,90.0,21.7,1006.5,-1.1000000000000227,1.88,0.06975647374412552,-0.9975640502598242,91.0,9.0,32.2,new york,0.11371951458594969,-0.9935128947338007
2019-06-26,26-06-19,32.2,20.6,26.400000000000002,1.6000000000000014,30.933333333333334,11.600000000000001,68.0,18.3,1012.1,5.600000000000023,2.79,-0.8090169943749476,0.5877852522924729,20.0,0.2,32.2,new york,0.0966127018812031,-0.9953220513156602
2019-06-27,27-06-19,32.2,22.2,27.200000000000003,0.0,31.666666666666668,10.000000000000004,65.0,17.8,1015.8,3.699999999999932,2.67,-0.6427876096865396,0.7660444431189778,30.0,0.0,33.9,new york,0.07947729992362097,-0.9968366760893436
2019-06-28,28-06-19,33.9,21.7,27.799999999999997,1.6999999999999957,32.76666666666667,12.2,66.0,17.9,1017.0,1.2000000000000455,1.96,0.19080899537654497,-0.981627183447664,62.0,0.3,34.4,new york,0.062318379354325076,-0.998056320853012
