feature_a,feature_b,pearson_corr
climatology_tmax_p10_doy,tmean_ma14_completed,0.9556798342986187
Tmax_so_far_23h_x,Temp_06h_x,0.9556654062686999
climatology_tmax_doy_plus1,tmax_ma14_completed,0.955357605179382
climatology_tmax_p10_doy_plus1,tmax_ma14_completed,0.9553451022844365
tmax_ma14_completed,tmin_ma3_completed,0.9553372866823543
tmax_lag2,tmin_ma3_completed,0.9553238977413496
tmax_lag3,tmean_ma3_completed,0.9553019181296476
climatology_tmax_doy,tmean_ma14_completed,0.9552376480083853
tmean_lag3,tmin_ma7_completed,0.9550721061301457
tmax_ma14_completed,tmean_ma3_completed,0.9550572183276799
Td_23h_x,Vapor_pressure_23h,0.9548588392995407
climatology_tmin_doy_plus1,tmean_ma7,0.9545861124009395
month_sin,doy_sin,0.954229669718246
td_ma3,Temp_23h_ma3,0.9539387304024664
month_cos,doy_cos,0.9539123470948174
Td_min_00_23h_x,td_ma3,0.9539122365299992
tmean_lag2,tmean_ma7,0.9538356100859475
tmin_lag3,tmax_ma7_completed,0.9536345986392464
tmean_lag2,tmax_ma7_completed,0.9532981073812495
tmin_lag1,td_ma3,0.9529938982365992
tmean_ma3_completed,tmean_ma14_completed,0.9529812074243561
MA_Tmax_3d_asof_23h,Temp_06h_x,0.9525689545769346
climatology_tmax_p10_doy_plus1,tmean_ma14_completed,0.9525574765623536
Tmin_so_far_23h_x,tmin_lag1,0.9525330374793798
climatology_tmin_doy_plus1,tmin_ma7_completed,0.9524767039241815
tmax_ma3_completed,tmin_ma7_completed,0.9521093668011948
climatology_tmean_doy_plus1,tmean_ma7,0.9518632817703917
climatology_tmax_doy_plus1,tmean_ma14_completed,0.9517902201780993
Tmin_so_far_23h_x,tmean_lag1,0.9513703424874961
tmin_lag1,tmin_lag2,0.9511551147106482
tmin_lag2,tmin_lag3,0.9511528659366999
MA_Tmax_3d_asof_23h,tmax_ma7_completed,0.9510209604770816
Temp_06h_x,tmean_lag1,0.9508433217902097
tmean_ma7,Temp_23h_ma3,0.9506280246435286
climatology_tmin_doy_plus1,tmax_ma7_completed,0.9505484725590508
tmax_lag1,tmean_ma3_completed,0.9505068193491678
climatology_tmax_doy,tmean_ma7,0.9505013573938763
MA_Tmax_3d_asof_23h,Temp_12h_x,0.9504911285650509
Temp_06h_x,tmin_lag1,0.9503837141648231
tmin_lag2,tmax_ma7_completed,0.9502158978159831
Tmin_so_far_23h_x,td_ma3,0.9501677312182059
climatology_tmax_p10_doy,tmean_ma7,0.9496007307217036
climatology_tmean_doy_plus1,tmax_ma7_completed,0.9493880880068538
tmin_lag1,tmean_lag2,0.9492808394543377
tmin_lag2,tmean_lag3,0.9492789031871715
Temp_change_last_12h,Temp_slope_last_12h,0.9492122394111664
climatology_tmax_p90_doy,tmax_ma14_completed,0.9489961037633242
tmax_ma7_completed,Temp_23h_ma3,0.9489006742179079
Td_23h_x,Td_min_00_23h_x,0.9488940944803675
climatology_tmax_doy,tmax_ma7_completed,0.9488871915953522
Temp_change_23h_minus_12h,Temp_slope_last_12h,0.9488481050533699
Td_23h_x,Td_mean_00_23h_x,0.9487686531823535
tmean_lag2,Temp_23h_ma3,0.9483872692381939
climatology_tmean_doy_plus1,tmin_ma7_completed,0.9481032299564442
tmean_lag2,tmin_ma7_completed,0.948084946980387
climatology_tmax_doy_plus1,tmean_ma7,0.9479608035015626
Td_mean_last_6h,Vapor_pressure_23h,0.947876741816367
Tmean_so_far_23h_x,tmean_lag1,0.9478577696905627
tmax_ma3_completed,tmax_min7_completed,0.9475070250674412
climatology_tmax_p10_doy_plus1,tmean_ma7,0.9474404560905388
climatology_tmax_p10_doy,tmax_ma7_completed,0.9471146886778947
MA_Tmax_3d_asof_23h,tmean_ma7,0.9469965369092547
climatology_tmax_doy_plus1,tmax_ma7_completed,0.9469492291079248
tmax_ma14_completed,tmax_max7_completed,0.9467793279301575
MA_Tmax_3d_asof_23h,tmin_lag2,0.9465803833917213
tmin_lag3,tmax_ma3_completed,0.9464740678442808
climatology_tmin_doy_plus1,tmax_min7_completed,0.9463775361219111
tmin_ma7_completed,Temp_23h_ma3,0.9461708661149255
tmin_lag7,tmean_ma14_completed,0.9461221511298917
climatology_tmax_p10_doy,tmin_ma7_completed,0.9458674888302109
climatology_tmax_doy,tmin_ma7_completed,0.9458307418999434
tmean_lag1,tmean_lag2,0.9457632714082466
tmean_lag2,tmean_lag3,0.9457608724289689
Td_max_00_23h_x,td_ma3,0.9457267420389402
climatology_tmax_p10_doy_plus1,tmax_ma7_completed,0.9455790380256168
climatology_tmax_p90_doy_plus1,tmax_ma14_completed,0.9453706684765655
tmin_lag2,Temp_23h_ma3,0.9451533093395105
tmax_ma3_completed,tmax_ma14_completed,0.9450760389875785
tmin_lag3,tmax_min7_completed,0.9450418909610439
Temp_06h_x,td_ma3,0.9444166631515614
tmin_lag2,tmax_min7_completed,0.9443646164629957
tmean_lag1,td_ma3,0.9442644767702102
climatology_tmax_p90_doy,tmean_ma14_completed,0.9442370489517926
SLP_mean_00_23h_x,SLP_min_00_23h_x,0.9442198792669575
tmin_lag1,tmean_ma7,0.944185341986584
Temp_06h_x,Td_mean_00_23h_x,0.9441737013451605
tmin_lag1,tmin_ma7_completed,0.9439187316568777
tmin_lag7,tmin_ma7_completed,0.9438974773574825
tmax_lag3,tmax_ma7_completed,0.9438777871300754
climatology_tmean_doy_plus1,tmax_min7_completed,0.943714352168247
Tmean_so_far_23h_x,tmin_lag1,0.9434683323997523
HR_23h_x,HR_mean_last_6h,0.9431010267741362
climatology_tmax_p10_doy_plus1,tmin_ma7_completed,0.943054541957512
MA_Tmax_3d_asof_23h,Temp_18h_x,0.9430382091285285
climatology_tmax_p10_doy,tmax_min7_completed,0.9430258102616081
tmax_lag3,tmin_ma3_completed,0.942958759561278
climatology_tmax_doy_plus1,tmin_ma7_completed,0.9426636088171788
