feature,family,pearson,spearman,kendall,mutual_info,missing_rate,near_zero_variance,univariate_mae,univariate_lift,temporal_stability,drift_ks,corr_shift,perm_hist_gbr,perm_lightgbm,max_peer_corr,abs_pearson,abs_spearman,abs_kendall,perm_avg,gain_avg,n_abs_pearson,n_abs_spearman,n_abs_kendall,n_mutual_info,n_perm_avg,n_gain_avg,n_univariate_lift,n_temporal_stability,n_missing_rate,n_max_peer_corr,n_drift_ks,n_corr_shift,redundancy_penalty,drift_penalty,utility_score
tmean_lag3,temperature_lags,0.8325030235940102,0.840945818525693,0.6399842974004191,0.5714832267011847,0.0,0.0,4.30787387570749,0.4902585135116755,0.9725674414208456,0.040793125883487324,0.001405790688409958,0.0016996161918457098,0.0006896029447548635,0.9906532723705167,0.8325030235940102,0.840945818525693,0.6399842974004191,0.0011946095683002867,,0.8804462416167013,0.8904819106085998,0.7974132861303821,0.5130431380181223,0.0010408503665696534,0.0,0.75759571556063,0.8142073490537913,0.0,0.9812453899118344,0.16343001869643753,0.005520348774734602,0.5887472339471006,0.10026615072775637,0.49655361029288053
Td_max_00_23h_x,temperature_rolling_trend,0.8320730853626577,0.8387549825963204,0.6453582764364393,0.5832928975328908,0.0,0.0,4.814285719881757,0.43033588493140174,0.9772280473658426,0.03038273001508296,0.011443782443475992,-0.00019660494014015484,0.0007121812421926777,0.9768458526360935,0.8320730853626577,0.8387549825963204,0.6453582764364393,0.00025778815102626144,,0.879987673641151,0.8881562841546358,0.8041135854829208,0.5236451474899202,0.0007563222615771636,0.0,0.6660526399751865,0.8584778953335045,0.0,0.9535402096917635,0.12162670968684237,0.045993615105107764,0.572124125815058,0.09137347185414853,0.4963730445446832
tmax_lag2,temperature_lags,0.8295610367747919,0.8369638939018749,0.640220163749384,0.5699976792499415,0.0,0.0,4.417760350671994,0.4772558823508064,0.9716836865341961,0.03560095568755206,0.008685170893464877,0.0012437051542337763,-0.0006987390041265584,0.9906536237282296,0.8295610367747919,0.8369638939018749,0.640220163749384,0.0002724830750536089,,0.8773083468183241,0.8862549992645383,0.7977073652726084,0.5117095032053212,0.0007607853522040581,0.0,0.7377317530581419,0.8058126656003795,0.0,0.9812460949261633,0.14258067753066686,0.034870870367915176,0.588747656955698,0.09949675466556618,0.4924058893236803
tmin_lag7,temperature_lags,0.8110936628382053,0.824512571827133,0.6240896913301219,0.5287176194221184,0.0,0.0,4.573831831556885,0.45878827838651143,0.9735096382989845,0.0468146624961384,0.002353212479753286,0.00011618083346442987,0.0012015828938444883,0.9593073884345619,0.8110936628382053,0.824512571827133,0.6240896913301219,0.0006588818636544591,,0.857611223691614,0.8730376133272264,0.7775958253535836,0.47465075774765975,0.0008781410328757301,0.0,0.709519017641825,0.8231571660927165,0.0,0.9183485286367373,0.18760970973923607,0.009340361325440817,0.5510091171820424,0.11630197037371796,0.4800754991428467
climatology_tmax_p10_doy,climatology,0.8863038303691572,0.8889595818285886,0.7043201905031375,0.7463235980788792,0.04887820512820513,0.0,3.491972828883154,0.5868023363893389,0.9830957521539061,0.03802834836320082,0.007853110348335468,0.0024549466214056183,0.002487888247902337,0.9993872273157712,0.8863038303691572,0.8889595818285886,0.7043201905031375,0.002471417434653978,,0.9378296638079283,0.941449706322797,0.8776275445061226,0.6700042675715688,0.0014286379597592063,0.0,0.9050845471488193,0.9142145311790032,0.9336734693877551,0.9987704453129523,0.15232795778691,0.031515995322413955,0.5992622671877714,0.10400317280111157,0.47822444884831095
climatology_tmean_doy_plus1,climatology,0.8883209355091409,0.8900748433422107,0.7014372853567201,0.7574129456305014,0.04887820512820513,0.0,3.47593520728903,0.5887000337934402,0.983203534013303,0.05069785152711635,0.005842542900351355,0.0021097378693127667,0.00175569674358238,0.9996626694034575,0.8883209355091409,0.8900748433422107,0.7014372853567201,0.0019327173064475735,,0.9399810887175126,0.9426335839671217,0.8740331264117275,0.6799596142915394,0.0012650258520388446,0.0,0.9079836365415554,0.9152383383514727,0.9336734693877551,0.9993231316820438,0.20320279121823295,0.023409370632632626,0.5995938790092262,0.13128542298399282,0.47814245431060054
climatology_tmax_doy,climatology,0.8885676446369557,0.8903135130468288,0.7017416484124477,0.7536530736763662,0.04887820512820513,0.0,3.465308263692277,0.5899574972619933,0.9832231291911947,0.05126364383781584,0.006520056180697509,0.012065395601160133,0.016749478576216604,0.9997577984788043,0.8885676446369557,0.8903135130468288,0.7017416484124477,0.014407437088688368,,0.9402442262964524,0.9428869377538558,0.8744126075320592,0.6765842282508491,0.005053803856582562,0.0,0.9099046482874519,0.9154244706355477,0.9336734693877551,0.9995140122540367,0.205474750046543,0.026141109819803762,0.599708407352422,0.1337412939558473,0.4780858160355038
climatology_tmax_p10_doy_plus1,climatology,0.8863115196000552,0.8891449009234992,0.7054049138649812,0.7405860576303329,0.04887820512820513,0.0,3.4868164041340894,0.5874124850827293,0.983011425883681,0.0383653784933715,0.008041143309540422,-0.0032084393276998746,0.002139318750736585,0.9993872273157712,0.8863115196000552,0.8891449009234992,0.7054049138649812,-0.0005345602884816447,,0.9378378650675263,0.9416464271195352,0.8789799820929328,0.6648534501569971,0.0005156729811167051,0.0,0.9060166639347605,0.9134135258821264,0.9336734693877551,0.9987704453129523,0.15368131407183566,0.03227414578751032,0.5992622671877714,0.10511844675810551,0.4770572845595983
tmax_lag3,temperature_lags,0.8177160131980483,0.8252408741719319,0.6255296661777816,0.5236759202967072,0.0,0.0,4.509239415681974,0.4664313605736708,0.9696019064583974,0.03560095568755206,0.0033437961148394812,0.0003425506498534681,0.0016089838542495017,0.9906532723705167,0.8177160131980483,0.8252408741719319,0.6255296661777816,0.0009757672520514849,,0.8646745587859243,0.8738107242557265,0.7793911919664372,0.4701246246620484,0.0009743843481948564,0.0,0.721195261941215,0.786038082149752,0.0,0.9812453899118344,0.14258067753066686,0.01333440278947358,0.5887472339471006,0.09088216763418955,0.4766738288901761
climatology_tmax_doy_plus1,climatology,0.8882886122856399,0.8899570507588862,0.7010538834924493,0.7481771963058126,0.04887820512820513,0.0,3.462931024200382,0.5902387909180521,0.9832419688860969,0.05103903397921932,0.007064378464025189,0.0041308304115598386,0.0041011046164610935,0.9997577984788043,0.8882886122856399,0.8899570507588862,0.7010538834924493,0.004115967514010466,,0.9399466130787273,0.9425085442303767,0.8735550993770634,0.6716683161499674,0.0019281149241160973,0.0,0.9103343772066999,0.915603426675794,0.9336734693877551,0.9995140122540367,0.2045728212972234,0.02833582179807965,0.599708407352422,0.1340780214975659,0.4765166995983047
climatology_tmax_p90_doy,climatology,0.8843088551061672,0.8864551578219101,0.7015117918383462,0.7339667131429826,0.04887820512820513,0.0,3.4908816871595665,0.58693144885182,0.9823101270343654,0.0543099871339536,0.008799751043171655,0.0302509854974387,0.009588085637338484,0.9990681029600107,0.8843088551061672,0.8864551578219101,0.7015117918383462,0.01991953556738859,,0.9357018424119471,0.9387911983789629,0.8741260214020602,0.658911002314711,0.00672791901423999,0.0,0.9052817906975749,0.9067519708116183,0.9336734693877551,0.9981301085984163,0.21770744818478147,0.03533285848550015,0.5988780651590497,0.14475761230506892,0.47114410696954967
climatology_tmin_doy_plus1,climatology,0.8869993088524659,0.8889712094297971,0.7000653593822356,0.7431947645827632,0.04887820512820513,0.0,3.5115774977859786,0.5844825579192703,0.9830286957307663,0.06647659797495875,0.00436073632369216,-0.0004515320671913514,0.0006833193762524559,0.999210770601427,0.8869993088524659,0.8889712094297971,0.7000653593822356,0.00011589365453055223,,0.9385714544580094,0.9414620493086884,0.8723226034162047,0.6671953897599671,0.000713226564305142,0.0,0.9015406496119732,0.9135775701230814,0.9336734693877551,0.9984163773432679,0.2665628998904796,0.017434714178371412,0.5990498264059607,0.16691162560563633,0.47071554750602423
climatology_tmax_p90_doy_plus1,climatology,0.8833537164177566,0.8851858341056421,0.7006806211406988,0.7243770714846507,0.04887820512820513,0.0,3.498016526137265,0.5860871986413263,0.9825299119652223,0.05328513256518453,0.009471838254957787,0.012500425773953782,0.008911303146052419,0.9990681029600107,0.8833537164177566,0.8851858341056421,0.7006806211406988,0.0107058644600031,,0.9346831006886621,0.9374437799011025,0.8730897143286668,0.6503020010020051,0.003929575240421644,0.0,0.9039920398528047,0.9088396819521687,0.9336734693877551,0.9981301085984163,0.21359210879041934,0.03804271971906111,0.5988780651590497,0.14337235316187605,0.4688141377009917
tmax_lag7,temperature_lags,0.8016848806823024,0.8115353191164697,0.6098063384842081,0.5007969725482697,0.0,0.0,4.760224325249782,0.43673285393663036,0.968090800381378,0.035660415554993885,0.011362126936205974,0.005294398549351787,0.003586409213816566,0.9593073884345619,0.8016848806823024,0.8115353191164697,0.6098063384842081,0.004440403881584176,,0.8475759072880157,0.8592619390290881,0.7597872817801737,0.4495852866745339,0.0020266515962654203,0.0,0.6758252122243978,0.7716842637180399,0.0,0.9183485286367373,0.14281944070968142,0.0456643794199506,0.5510091171820424,0.10395741619378909,0.46349039036758155
daylight_hours_x,astronomical,0.7636809077320291,0.7640007766592223,0.5490755844594262,0.5170233120690071,0.0,0.0,5.197115078472037,0.38503650710615556,0.9704069569921111,0.00017508846575110815,0.008247390874478566,0.008701933381119086,0.005491894177835466,0.9998515419265726,0.7636809077320291,0.7640007766592223,0.5490755844594262,0.007096913779477276,,0.8070412358682385,0.808802848079583,0.6840679257603604,0.4641523146419521,0.002833477436499414,0.0,0.5968493278628871,0.7936851622356665,0.0,0.9997021125048312,0.0003268676731154033,0.0331057376865094,0.5998212675028987,0.013438415678473004,0.4475629741157749
