date,date_str,Tmax_so_far_23h_x,Tmin_so_far_23h_x,Tmean_so_far_23h_x,Delta_Tmax_so_far_1d_23h,MA_Tmax_3d_asof_23h,DTR_so_far_23h_x,HR_23h_x,Td_23h_x,SLP_23h_x,Delta_SLP_24h_23h,WindSpd_23h_x,WindDir_sin_23h_x,WindDir_cos_23h_x,Cloud_23h_x,Precip_sum_00_23h_x,climatology_tmax_doy,tmax_anomaly_x,tmax_lag2,tmax_lag3,tmax_lag7,tmin_lag1,tmean_ma7,tmax_trend_3d,tmax_trend_7d,dtr_ma3,td_anomaly_x,td_ma3,wind_u,wind_v,pressure_trend_3d,month,season,extreme_heat_flag,extreme_cold_flag,t_max_x+1,ciudad,doy_sin,doy_cos
1984-02-17,17-02-84,6.7,4.4,5.604166666666667,-1.0999999999999996,9.466666666666667,2.3,92.56096192440714,3.3,1018.0,-4.0,4.1,-0.34202014332566866,-0.9396926207859084,100.0,0.0,6.594029850746269,0.10597014925373127,13.9,12.8,7.2,6.1,6.3500000000000005,-3.5999999999999974,-0.6678571428571419,4.1000000000000005,6.350746268656717,3.9,-1.4022825876352414,-3.852739745222224,0.5500000000001444,2.0,winter,0.0,0.0,9.4,new york,0.7350336741329412,0.6780306024735382
1984-02-18,18-02-84,9.4,4.4,6.779166666666666,2.7,7.966666666666668,5.0,85.91362683724125,5.0,1020.0,2.0,2.6,0.9396926207859083,0.3420201433256688,100.0,0.3,6.741791044776119,2.6582089552238815,7.8,13.9,11.7,4.4,6.785714285714286,0.8000000000000012,-0.5499999999999994,3.0,7.876119402985075,3.3333333333333335,2.4432008140433616,0.889252372646739,-0.9999999999999237,2.0,winter,0.0,0.0,7.2,new york,0.746588114532413,0.6652865452111116
1984-02-19,19-02-84,7.2,4.4,5.6875,-2.2,7.766666666666667,2.8,92.59561987307997,3.9,1011.2,-8.799999999999955,3.6,0.984807753012208,0.17364817766693041,100.0,1.1,6.723880597014926,0.4761194029850744,6.7,7.8,14.4,4.4,6.778571428571428,0.2500000000000007,-0.19999999999999898,3.3666666666666667,7.058208955223881,4.066666666666667,3.545307910843949,0.6251334396009495,-3.3999999999998174,2.0,winter,0.0,0.0,10.6,new york,0.7579216274973472,0.6523456189565257
1984-02-20,20-02-84,10.6,5.0,8.016666666666666,3.3999999999999995,9.066666666666668,5.6,59.94947974018521,-1.1,1008.1,-3.1000000000000227,6.2,-0.6427876096865396,0.7660444431189778,75.0,0.0,6.891044776119402,3.708955223880598,9.4,6.7,4.4,4.4,6.342857142857143,0.6000000000000004,-0.6571428571428568,4.466666666666666,1.743283582089552,2.6,-3.9852831800565456,4.749475547337663,-5.949999999999951,2.0,winter,0.0,0.0,8.3,new york,0.7690308592589181,0.6392116531380588
1984-02-21,21-02-84,8.3,2.8,4.666666666666667,-2.299999999999999,8.7,5.500000000000001,61.37445076637549,-3.9,1011.9,3.7999999999999545,7.7,-0.7660444431189781,0.6427876096865393,25.0,0.0,7.2567164179104475,1.0432835820895532,7.2,9.4,12.8,5.0,7.064285714285715,0.5500000000000025,-0.38214285714285656,4.633333333333333,-1.140298507462687,-0.3666666666666667,-5.898542212016132,4.9494645945863525,0.35000000000001824,2.0,winter,0.0,0.0,10.6,new york,0.7799125224167177,0.6258885343075018
1984-02-22,22-02-84,10.6,0.0,4.704166666666667,2.299999999999999,9.833333333333334,10.6,48.89728418376342,-3.3,1017.3,5.399999999999977,4.6,-0.9396926207859084,-0.34202014332566855,0.0,0.0,7.12089552238806,3.4791044776119397,10.6,7.2,13.9,2.8,6.8999999999999995,9.141309707666805e-16,0.45714285714285674,7.233333333333334,-0.4835820895522387,-2.766666666666667,-4.3225860556151785,-1.5732926592980752,4.600000000000145,2.0,winter,0.0,0.0,11.7,new york,0.7905633969115482,0.612380204990065
1984-02-23,23-02-84,11.7,3.3,6.829166666666667,1.0999999999999996,10.2,8.399999999999999,88.81608911554218,3.9,1001.0,-16.299999999999955,11.3,0.8660254037844386,0.5000000000000001,100.0,7.6,7.119402985074628,4.580597014925371,8.3,10.6,7.8,0.0,6.264285714285713,1.700000000000001,0.6607142857142861,8.166666666666666,7.170149253731344,-1.0999999999999999,9.786087062764157,5.650000000000001,-5.44999999999992,2.0,winter,0.0,0.0,16.7,new york,0.8009803309782905,0.5986906625177214
1984-02-24,24-02-84,16.7,6.1,11.112499999999997,5.0,13.0,10.6,50.7452224599268,3.3,1003.1,2.1000000000000227,6.2,-0.8660254037844384,-0.5000000000000004,0.0,10.7,6.897014925373136,9.802985074626864,10.6,8.3,6.7,3.3,6.3428571428571425,3.0500000000000034,1.1035714285714289,9.866666666666667,7.208955223880597,1.3,-5.369357503463518,-3.1000000000000028,-7.099999999999812,2.0,winter,1.0,0.0,12.8,new york,0.8111602420785621,0.5848239578463322
1984-02-25,25-02-84,12.8,2.2,7.570833333333333,-3.8999999999999986,13.733333333333334,10.600000000000001,66.98396013477694,-3.3,1003.4,0.2999999999999545,13.4,-0.5000000000000004,0.8660254037844384,75.0,0.6,6.962686567164179,5.837313432835821,11.7,10.6,9.4,6.1,7.178571428571429,0.5500000000000008,1.1571428571428573,9.866666666666667,0.6000000000000005,1.2999999999999998,-6.700000000000006,11.604740410711475,1.2000000000001176,2.0,winter,1.0,0.0,3.3,new york,0.8211001178128892,0.5707841943569036
1984-02-26,26-02-84,3.3,-1.7,0.9416666666666668,-9.5,10.933333333333332,5.0,58.22914851907053,-7.8,1024.0,20.600000000000023,8.2,-0.6427876096865396,0.7660444431189778,0.0,0.0,7.02089552238806,-3.7208955223880604,16.7,11.7,7.2,2.2,7.264285714285714,-6.699999999999999,-0.24285714285714283,8.733333333333334,-3.643283582089552,-2.6,-5.270858399429624,6.281564433575618,10.450000000000161,2.0,winter,0.0,0.0,2.8,new york,0.8307970168121247,0.5565755266413303
